id;port;name;status;vlan;speed;type;timestamp
1;cross-platform Kina overriding;Infrastructure Awesome Schleswig-Holstein;payment;static artificial;sticky;Fantastic;2021-10-24T20:27:55
2;grow Cross-group bluetooth;Sleek;Dynamic bleeding-edge silver;architecture Rheinland-Pfalz;Assistant deposit;SAS plum Forge;2021-10-24T22:19:42
3;International deposit;Agent program Graphic;Plastic Greens;TCP;Future holistic;Färöer;2021-10-24T13:32:00
4;generate pricing context-sensitive;Facilitator AGP Moldovan;matrix Bike Vereinigte;Account neural;red Investment Cheese;Salad Licensed;2021-10-25T00:18:15
5;invoice Frozen Rheinland-Pfalz;parallelism Games copy;bottom-line web-enabled Trafficway;Kids microchip;Baby intranet Small;Account navigating Producer;2021-10-24T03:58:26
6;circuit;Card;Mouse Applications;evolve;rich Niedersachsen parsing;Mobility visionary deploy;2021-10-24T01:52:25
7;Plastic Unbranded;Mission Orchestrator Business-focused;Table Buckinghamshire blue;program microchip;Kroon Mecklenburg-Vorpommern Ball;compressing Auto Frozen;2021-10-24T15:41:50
8;holistic;firewall magenta;web-readiness Books utilisation;Circle Namibia Practical;Home;synthesizing calculate Corporate;2021-10-24T03:53:20
9;invoice Krona;quantifying Configuration;Sol backing;Fully-configurable invoice Central;Sachsen Colombian;Islands Multi-layered;2021-10-24T23:13:40
10;Kwacha microchip Fish;Architect Street;Italien backing web-enabled;Electronics withdrawal Steel;digital applications bus;leverage Borders;2021-10-24T20:05:01
